time,angle,vel,accel,dis,turn_point
8.68,-4.1363,-0.9945,0.6142,-0.5958,0
8.70,-5.2580,-0.9784,0.8066,-0.6154,0
8.72,-6.3582,-0.9585,0.9950,-0.6346,0
8.74,-7.4313,-0.9349,1.1785,-0.6533,0
8.76,-8.4716,-0.9078,1.3562,-0.6715,0
8.78,-9.4794,-0.8772,1.5280,-0.6890,0
8.80,-10.4432,-0.8434,1.6921,-0.7059,0
8.82,-11.3692,-0.8064,1.8496,-0.7220,0
8.84,-12.2458,-0.7664,1.9986,-0.7373,0
8.86,-13.0734,-0.7236,2.1392,-0.7518,0
8.88,-13.8521,-0.6782,2.2716,-0.7654,0
8.90,-14.5765,-0.6303,2.3950,-0.7780,0
8.92,-15.2409,-0.5801,2.5086,-0.7896,0
8.94,-15.8456,-0.5279,2.6124,-0.8002,0
8.96,-16.3910,-0.4738,2.7068,-0.8097,0
8.98,-16.8714,-0.4180,2.7910,-0.8181,0
9.00,-17.2870,-0.3607,2.8649,-0.8253,0
9.02,-17.6324,-0.3021,2.9280,-0.8313,0
9.04,-17.9079,-0.2425,2.9803,-0.8361,0
9.06,-18.1136,-0.1820,3.0228,-0.8397,0
9.08,-18.2499,-0.1209,3.0529,-0.8421,0
9.10,-18.3169,-0.0594,3.0734,-0.8433,0
9.12,-18.3149,0.0023,3.0835,-0.8433,1
9.14,-18.2442,0.0640,3.0831,-0.8420,0
9.16,-18.0993,0.1254,3.0706,-0.8395,0
9.18,-17.8863,0.1863,3.0461,-0.8358,0
9.20,-17.6054,0.2465,3.0097,-0.8309,0
9.22,-17.2567,0.3057,2.9613,-0.8248,0
9.24,-16.8408,0.3637,2.9010,-0.8175,0
9.26,-16.3577,0.4203,2.8286,-0.8091,0
9.28,-15.8135,0.4752,2.7452,-0.7996,0
9.30,-15.2084,0.5282,2.6507,-0.7890,0
9.32,-14.5428,0.5791,2.5452,-0.7774,0
9.34,-13.8225,0.6277,2.4296,-0.7648,0
9.36,-13.0477,0.6738,2.3039,-0.7513,0
9.38,-12.2245,0.7172,2.1691,-0.7370,0
9.40,-11.3587,0.7577,2.0262,-0.7218,0
9.42,-10.4449,0.7952,1.8742,-0.7059,0
9.44,-9.4946,0.8295,1.7152,-0.6893,0
9.46,-8.5079,0.8605,1.5493,-0.6721,0
9.48,-7.4909,0.8880,1.3774,-0.6543,0
